,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
M3 133 17O-17O,5.323833665560356e-10,1.9657555576867504e-07,1.9657555576867504e-07
M3 133 17O-17O-D,1.801269280794233e-10,6.65094990198006e-08,6.65094990198006e-08
M3 133 17O-17O-33S,1.014526914114447e-09,3.746007191667873e-07,3.746007191667873e-07
M3 133 17O-18O,6.782168836380372e-07,0.00025042266383206656,0.00025042266383206656
M3 133 18O-17O,6.782168836380372e-07,0.00025042266383206656,0.00025042266383206656
M3 133 13C-D,2.83280753928797e-07,0.00010459769245300295,0.00010459769245300295
M3 133 13C,8.732725937535859e-08,3.2244441926341656e-05,3.2244441926341656e-05
M3 133 13C-D-D,4.259795160544248e-08,1.572873334795596e-05,1.572873334795596e-05
M3 133 13C-33S,1.5955190718884351e-06,0.0005891244317509642,0.0005891244317509642
M3 133 13C-33S-D,5.398289412581538e-07,0.00019932473629727447,0.00019932473629727447
M3 133 13C-34S,0.002182153931354175,0.8057316377174913,0.8057316377174913
M3 133 13C-17O,1.535387182810449e-07,5.6692152261165073e-05,5.6692152261165073e-05
M3 133 13C-17O-D,5.1948387952322766e-08,1.9181258984618854e-05,1.9181258984618854e-05
M3 133 13C-17O-33S,2.925883335958064e-07,0.00010803439382430887,0.00010803439382430887
M3 133 13C-18O,0.00019559692802571511,0.07222159302614782,0.07222159302614782
M3 133 13C-17O-17O,7.039031766495257e-09,2.5990698967987447e-06,2.5990698967987447e-06
M3 133 13C-13C,4.428038044067026e-06,0.001634994806671321,0.001634994806671321
M3 133 13C-13C-D,1.4981852184006195e-06,0.0005531851865633325,0.0005531851865633325
M3 133 13C-13C-33S,8.438212112992172e-06,0.00311569883660295,0.00311569883660295
M3 133 13C-13C-17O,8.120192953124398e-07,0.0002998274444664298,0.0002998274444664298
M3 133 13C-13C-13C,1.1709269076931856e-05,0.00432349359697843,0.00432349359697843
M3 104 D,5.5782533613679945e-06,0.002059696684032251,0.002059696684032251
M3 104 D-D,1.1690810302002958e-08,4.3166779371205154e-06,4.3166779371205154e-06
M3 104 D-D-D,4.0372967211552366e-10,1.4907187125287595e-07,1.4907187125287595e-07
M3 104 15N,1.3164907136870022e-05,0.004860968804893782,0.004860968804893782
M3 104 15N-D,6.1312872610516e-08,2.2638971775459417e-05,2.2638971775459417e-05
M3 104 15N-D-D,3.5730698061841895e-09,1.3193090300596398e-06,1.3193090300596398e-06
M3 104 33S,2.8276501499685138e-05,0.010440726263579322,0.010440726263579322
M3 104 33S-D,1.3169204433396803e-07,4.862555525114813e-05,4.862555525114813e-05
M3 104 33S-D-D,7.674487383970098e-09,2.833703525530448e-06,2.833703525530448e-06
M3 104 33S-15N,3.107986357034325e-07,0.00011475830836108149,0.00011475830836108149
M3 104 33S-15N-D,4.02491234712579e-08,1.4861459453075856e-05,1.4861459453075856e-05
M3 104 34S,0.00047910562268392733,0.1769034495954284,0.1769034495954284
M3 104 34S-D,6.204525743665074e-05,0.022909395239598257,0.022909395239598257
M3 104 34S-15N,0.00014642935691906012,0.05406711408626295,0.05406711408626295
M3 104 ,4.1592111921348265e-05,0.015357340274212738,0.015357340274212738
M3 104 13C,0.00015695133527363972,0.05795221620021066,0.05795221620021066
M3 104 13C-D,7.309688648492035e-07,0.00026990063905801164,0.00026990063905801164
M3 104 13C-D-D,4.259795160544248e-08,1.5728733347955955e-05,1.5728733347955955e-05
M3 104 13C-15N,1.72511655571756e-06,0.000636976598085035,0.000636976598085035
M3 104 13C-15N-D,2.2340648019974678e-07,8.248990439292085e-05,8.248990439292085e-05
M3 104 13C-33S,3.7053251016305184e-06,0.0013681425583756976,0.0013681425583756976
M3 104 13C-33S-D,4.798479477850256e-07,0.00017717754337535506,0.00017717754337535506
M3 104 13C-33S-15N,1.1324608731752401e-06,0.0004181462823881646,0.0004181462823881646
M3 104 13C-34S,0.00174572314508334,0.644585310173993,0.644585310173993
M3 104 13C-13C,7.71253105246666e-06,0.0028477506497420263,0.0028477506497420263
M3 104 13C-13C-D,9.987901456004132e-07,0.000368790124375555,0.000368790124375555
M3 104 13C-13C-15N,2.3571857827600913e-06,0.0008703598466901258,0.0008703598466901258
M3 104 13C-13C-33S,5.062927267795302e-06,0.0018694193019617694,0.0018694193019617694
M3 104 13C-13C-13C,4.683707630772742e-06,0.0017293974387913714,0.0017293974387913714
M3 102 D-D,1.1778398982624713e-08,4.349018905403668e-06,4.349018905403668e-06
M3 102 D-D-D,1.8840718032057772e-10,6.956687325134212e-08,6.956687325134212e-08
M3 102 D,4.974536741317156e-05,0.018367822626426635,0.018367822626426635
M3 102 ,0.0004612993306946342,0.1703287104809858,0.1703287104809858
M3 102 15N-D,7.942144445690887e-08,2.9325323751309484e-05,2.9325323751309484e-05
