,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
M4 56 13C,3.460416371343881e-05,0.10594001506369685,0.1067855503408474
M4 56 13C-15N,5.281455674345062e-06,0.016169080065965295,0.01629812977005138
M4 56 13C-13C,1.5741309673872835e-05,0.04819173200607549,0.048576362964015435
D/34S,0.04177593124172358,0.04177593124172358,0.04177593124172358
17O/34S,0.016981976843360284,0.016981976843360284,0.016981976843360284
33S/34S,0.1764705882352941,0.1764705882352941,0.1764705882352941
15N/34S,0.08216076187969519,0.08216076187969519,0.08216076187969519
13C13C/34S,0.026829612954172872,0.026829612954172872,0.026829612954172872
18O/34S,0.08963479854252708,0.08963479854252708,0.08963479854252708
13C33S/34S,0.009667297058823524,0.009667297058823524,0.009667297058823524
13C18O/34S,0.004910315271137666,0.004910315271137666,0.004910315271137666
13C34S/34S,0.05478134999999996,0.05478134999999996,0.05478134999999996
17O34S/34S,0.0007597999999999997,0.0007597999999999997,0.0007597999999999997
34S15N/34S,0.0036760000000000004,0.0036760000000000004,0.0036760000000000004
34SD/13C34S,0.03411964108222965,0.03411964108222965,0.03411964108222965
18O33S/13C34S,0.012918952290493464,0.012918952290493464,0.012918952290493464
13C13C34S/13C34S,0.021912540000000005,0.021912540000000005,0.021912540000000005
18O34S/13C34S,0.07320739631279628,0.07320739631279628,0.07320739631279628
36S/13C34S,0.04295140248149131,0.04295140248149131,0.04295140248149131
13C34S15N/36S,0.0855850982184824,0.0855850982184824,0.0855850982184824
13C34SD/36S,0.043517088896118,0.043517088896118,0.043517088896118
18O18O/36S,0.0381939229059407,0.0381939229059407,0.0381939229059407
13C13C18O/36S,0.04572903316257139,0.04572903316257139,0.04572903316257139
