,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
M3 133 13C-13C-13C,1.1427202644438662e-05,0.0042438462519703716,0.0042438462519703716
M3 104 D,5.033582780856818e-06,0.0018693771418255233,0.0018693771418255233
M3 104 D-D,1.0008521853721275e-08,3.7169751231592924e-06,3.7169751231592924e-06
M3 104 D-D-D,3.175141085924643e-10,1.1791871568442246e-07,1.1791871568442246e-07
M3 104 15N,1.2971088441992506e-05,0.004817216144785554,0.004817216144785554
M3 104 15N-D,5.744120111536531e-08,2.1332572252996408e-05,2.1332572252996408e-05
M3 104 15N-D-D,3.08205277455056e-09,1.1446159241795606e-06,1.1446159241795606e-06
M3 104 33S,2.7653321546460134e-05,0.010269918951388408,0.010269918951388408
M3 104 33S-D,1.22460039615155e-07,4.547933525882161e-05,4.547933525882161e-05
M3 104 33S-D-D,6.5706896363366464e-09,2.440229464172387e-06,2.440229464172387e-06
M3 104 33S-15N,3.1556846755338273e-07,0.00011719614151747141,0.00011719614151747141
M3 104 33S-15N-D,3.771069398495921e-08,1.4005036254884087e-05,1.4005036254884087e-05
M3 104 34S,0.0004827731794573549,0.17929279911641569,0.17929279911641569
M3 104 34S-D,5.7691795938332686e-05,0.021425638415670162,0.021425638415670162
M3 104 34S-15N,0.00014866655026305476,0.05521193609306316,0.05521193609306316
M3 104 ,4.068610502990405e-05,0.015110047464018962,0.015110047464018962
M3 104 13C,0.00015153918918965473,0.05627877968735687,0.05627877968735687
M3 104 13C-D,6.710765316287694e-07,0.00024922509140275505,0.00024922509140275505
M3 104 13C-D-D,3.600713853612219e-08,1.3372368083020593e-05,1.3372368083020593e-05
M3 104 13C-15N,1.7293036435611476e-06,0.000642230562859349,0.000642230562859349
M3 104 13C-15N-D,2.0665322177152475e-07,7.674708570076017e-05,7.674708570076017e-05
M3 104 13C-33S,3.686736847159732e-06,0.0013691841159773593,0.0013691841159773593
M3 104 13C-33S-D,4.405681154527749e-07,0.00016361863910865774,0.00016361863910865774
