,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
M3 102 ,0.0004612993306946342,0.1703287104809858,0.1707730007733349
M3 102 15N,0.00014675138884406993,0.05418602013895119,0.05432736050758774
M3 102 17O,3.0332346366627925e-05,0.011199819940580818,0.011229033872052539
M3 102 18O,6.95350937951617e-05,0.025674918802655995,0.02574188999705217
M3 102 18O-D,4.4491313206827335e-06,0.0016427832216260143,0.001647068304485747
M3 102 18O-15N,1.312516590815175e-05,0.004846294878898008,0.0048589360934206535
M3 102 13C,0.0017495623928733585,0.6460029019235977,0.6476879544161782
M3 102 13C-15N,2.7932806537618663e-06,0.0010313821419387502,0.001034072428691181
M3 102 13C-18O,0.00015647754242057208,0.05777727442091825,0.05792798232019792
M3 102 13C-13C,1.2488004772194582e-05,0.004611031509899049,0.004623059056704159
M3 102 13C-13C-13C,4.683707630772742e-06,0.0017293974387913714,0.0017339084486586963
M3 61 ,0.0001389232993007169,0.051295601036367135,0.05133076557185937
M3 61 D,3.1620903838098577e-06,0.0011675602838782165,0.0011683606783411385
M3 61 33S,3.205765234658041e-05,0.011836866481073138,0.01184498097633357
M3 61 34S,0.0015294191808629828,0.5647179163884869,0.5651050459437068
M3 61 34S-D,3.102262871832537e-05,0.011454697619799127,0.011462550127867385
M3 61 13C,8.896948127741252e-05,0.032850810763858214,0.03287333089185585
M3 61 13C-33S,5.914139819546003e-06,0.0021837183408669487,0.002185215339431173
M3 61 13C-34S,0.00087286157254167,0.32229265508699645,0.32251359550449266
M3 61 13C-13C,4.103372466724197e-06,0.001515116312499007,0.001516154966111974
M3 56 D,4.085087323185497e-05,0.015083647637481845,0.015104448629048063
M3 56 ,0.0010527963657168855,0.3887312108205303,0.3892672876921293
M3 56 15N,0.000160682898904617,0.059330046990437486,0.059411865648412804
M3 56 13C,0.0014367398461221593,0.5304972910282261,0.531228869353429
M3 56 13C-15N,3.3887979071095703e-06,0.0012512690550178388,0.0012529946082584101
M3 56 13C-13C,1.010026791233062e-05,0.0037293910798205363,0.0037345340687223523
M4 133 36S,9.372657178216173e-05,0.28694218732454785,0.28814847672444077
M4 133 18O-34S,0.00015974980766817154,0.4890711178844712,0.4911271463506881
M4 133 18O-18O,3.579785456886002e-06,0.010959447781135776,0.011005520705477539
M4 133 13C-34S,9.041274740701132e-06,0.027679697453659828,0.027796061401191972
M4 133 13C-34S-D,3.059030667129538e-06,0.009365166505386671,0.00940453715767386
M4 133 13C-17O-34S,1.6580005570429023e-06,0.005075938417217935,0.005097277387148744
M4 133 13C-18O,8.104128399503848e-07,0.002481064104976899,0.002491494363971556
M4 133 13C-18O-33S,1.544348845818139e-06,0.004727995779480083,0.004747872017424399
M4 133 13C-13C-34S,4.781653530695562e-05,0.14638944933512069,0.1470048626441068
M4 133 13C-13C-18O,4.286025509240602e-06,0.013121588799905022,0.013176751247876383
M4 104 34S,0.00016023350849821578,0.4905519591394589,0.4923523441990684
M4 104 34S-D,7.462549178924855e-07,0.0022846457986263912,0.002293030725209015
M4 104 34S-15N,1.761192268986118e-06,0.005391857958237427,0.005411646729499448
M4 104 36S,9.372657178216173e-05,0.28694218732454785,0.2879952998795095
M4 104 33S,3.2839334793861575e-07,0.0010053702356610868,0.001009060066101955
M4 104 ,3.607343184803024e-06,0.011043815261732245,0.01108434740033218
M4 104 13C-15N,5.769531084658996e-07,0.0017663314018534352,0.001772814051870356
M4 104 13C-33S,1.2392199403438207e-06,0.003793849209431208,0.003807773095184418
M4 104 13C-34S,2.099684224257293e-05,0.06428144895766913,0.06451736965507386
M4 104 13C-34S-D,2.7191383707818114e-06,0.008324592449232596,0.008355144711013852
